branch,feature,mean_abs_shap
efficientnet_b0_image_encoder,efficientnet_feature_235,0.0034968364289369447
efficientnet_b0_image_encoder,efficientnet_feature_236,0.0012064947043199936
efficientnet_b0_image_encoder,efficientnet_feature_237,0.006378227703351058
efficientnet_b0_image_encoder,efficientnet_feature_238,0.0014076286220756629
efficientnet_b0_image_encoder,efficientnet_feature_239,0.0072570106999023665
efficientnet_b0_image_encoder,efficientnet_feature_240,0.0037402355386007002
efficientnet_b0_image_encoder,efficientnet_feature_241,0.006124903676266058
efficientnet_b0_image_encoder,efficientnet_feature_242,0.003713410068826306
efficientnet_b0_image_encoder,efficientnet_feature_243,0.005728292079879793
efficientnet_b0_image_encoder,efficientnet_feature_244,0.005496006709563517
efficientnet_b0_image_encoder,efficientnet_feature_245,0.0008533351103103826
efficientnet_b0_image_encoder,efficientnet_feature_246,0.0011389436593489677
efficientnet_b0_image_encoder,efficientnet_feature_247,0.009965374079797584
efficientnet_b0_image_encoder,efficientnet_feature_248,0.0007422027018364474
efficientnet_b0_image_encoder,efficientnet_feature_249,0.0015975610250507088
efficientnet_b0_image_encoder,efficientnet_feature_250,0.0009659646035515834
efficientnet_b0_image_encoder,efficientnet_feature_251,0.0007598230432961373
efficientnet_b0_image_encoder,efficientnet_feature_252,0.00286889840430149
efficientnet_b0_image_encoder,efficientnet_feature_253,0.004012420522997218
efficientnet_b0_image_encoder,efficientnet_feature_254,0.003431739194169836
efficientnet_b0_image_encoder,efficientnet_feature_255,0.006237622844764701
efficientnet_b0_image_encoder,efficientnet_feature_256,0.0015585599738443534
efficientnet_b0_image_encoder,efficientnet_feature_257,0.003352187729660727
efficientnet_b0_image_encoder,efficientnet_feature_258,0.0007675979982195713
efficientnet_b0_image_encoder,efficientnet_feature_259,0.0013721380729805333
efficientnet_b0_image_encoder,efficientnet_feature_260,0.00292335477575989
efficientnet_b0_image_encoder,efficientnet_feature_261,0.0042651339524582
efficientnet_b0_image_encoder,efficientnet_feature_262,0.006314674166162604
efficientnet_b0_image_encoder,efficientnet_feature_263,0.0015979125732243915
efficientnet_b0_image_encoder,efficientnet_feature_264,0.006194969527058447
efficientnet_b0_image_encoder,efficientnet_feature_265,0.0010168955146525605
efficientnet_b0_image_encoder,efficientnet_feature_266,0.005179949622515778
efficientnet_b0_image_encoder,efficientnet_feature_267,0.00025004832135433475
efficientnet_b0_image_encoder,efficientnet_feature_268,0.0028297254270910344
efficientnet_b0_image_encoder,efficientnet_feature_269,0.0009807976509392802
efficientnet_b0_image_encoder,efficientnet_feature_270,0.007545236973385272
efficientnet_b0_image_encoder,efficientnet_feature_271,0.002749100157529938
efficientnet_b0_image_encoder,efficientnet_feature_272,0.0006872403097020197
efficientnet_b0_image_encoder,efficientnet_feature_273,9.139141546121721e-05
efficientnet_b0_image_encoder,efficientnet_feature_274,0.003618745190124173
